mmsi,timestamp,distance_from_shore,distance_from_port,speed,course,lat,lon,is_fishing,source
1.84835E+13,1351303521,0,2236.013184,0,171.6000061,28.96593094,-13.53954697,0,gfw
1.84835E+13,1352563932,0,2236.013184,0,349,28.96594048,-13.53960991,0,gfw
1.84835E+13,1344941339,71587.34375,108223.9609,1.399999976,0.200000003,29.39609909,-12.70048714,1,gfw
1.84835E+13,1350786563,0,2236.013184,0,0,28.96593285,-13.53953648,0,gfw
1.84835E+13,1350779901,0,2236.013184,0,67.69999695,28.96595383,-13.53956509,0,gfw
1.84835E+13,1351248264,0,2236.013184,0,306.7999878,28.96593285,-13.53956699,0,gfw
1.84835E+13,1348741762,0,2236.013184,0,39.79999924,28.9659462,-13.53958321,0,gfw
1.84835E+13,1350807263,0,2236.013184,0,216,28.96590042,-13.53957176,0,gfw
1.84835E+13,1349760856,0,2236.013184,0,0,28.96593094,-13.53953648,0,gfw
1.84835E+13,1352575271,0,2236.013184,0,0,28.96601677,-13.53956985,0,gfw
1.84835E+13,1352945293,0,2236.013184,0,190.1999969,28.96594238,-13.53954792,0,gfw
1.84835E+13,1351032072,0,2236.013184,0,80.59999847,28.96600723,-13.53959465,0,gfw
1.84835E+13,1346708523,47168.75,101239.8047,1,167.1000061,27.71115303,-14.6516571,1,gfw
1.84835E+13,1352442400,0,2236.013184,0,0,28.96591759,-13.53957462,0,gfw
1.84835E+13,1345586590,56858.07813,69582.77344,10.60000038,253.6000061,29.02105331,-12.91386509,1,gfw
1.84835E+13,1351007411,0,2236.013184,0,0,28.96600723,-13.5395937,0,gfw
1.84835E+13,1351596909,0,2236.013184,0,14.89999962,28.96598053,-13.53953648,0,gfw
1.84835E+13,1352936615,0,2236.013184,0,210.6999969,28.96596909,-13.53956985,0,gfw
1.84835E+13,1348785106,0,2236.013184,0,213.8000031,28.96599388,-13.5395546,0,gfw
1.84835E+13,1352861878,0,2236.013184,0,0,28.96591759,-13.53957176,0,gfw
1.84835E+13,1352202852,0,2236.013184,0,357.6000061,28.96595573,-13.53957367,0,gfw
1.84835E+13,1351918500,0,2236.013184,0,312.5,28.96591377,-13.53955364,0,gfw
1.84835E+13,1351287684,0,2236.013184,0,0,28.96595383,-13.53957176,0,gfw
1.84835E+13,1351549168,0,2236.013184,0,0,28.96595955,-13.53957367,0,gfw
1.84835E+13,1351158086,0,2236.013184,0,99.59999847,28.9659462,-13.53958321,0,gfw
1.84835E+13,1352387092,0,2236.013184,0,89.5,28.96588707,-13.53963661,0,gfw
1.84835E+13,1345600748,0,2236.013184,0,305.1000061,28.96781921,-13.53735828,1,gfw
1.84835E+13,1347112027,59032.44141,86450.17969,9.300000191,271.5,27.69235039,-14.83407879,0.33333334,gfw
1.84835E+13,1351446803,0,2236.013184,0,0,28.96604729,-13.53956985,0,gfw
1.84835E+13,1352948330,0,2236.013184,0,264.1000061,28.96592712,-13.53958511,0,gfw
1.84835E+13,1348327276,0,2236.013184,0,0,28.96602631,-13.53958035,0.33333334,gfw
1.84835E+13,1351571190,0,2236.013184,0,192.8999939,28.96593285,-13.53955173,0,gfw
1.84835E+13,1352274030,0,2236.013184,0,0,28.96591949,-13.53958321,0,gfw
1.84835E+13,1352477152,0,2236.013184,0,181.3999939,28.96592712,-13.53963661,0,gfw
1.84835E+13,1352125989,0,2236.013184,0,302.7999878,28.96596718,-13.53962326,0,gfw
1.84835E+13,1351963329,0,2236.013184,0,115.5,28.96599388,-13.53955173,0,gfw
1.84835E+13,1351222882,0,2236.013184,0,345.8999939,28.96592712,-13.53956318,0,gfw
1.84835E+13,1352864131,0,2236.013184,0,0,28.96594048,-13.53954697,0,gfw
1.84835E+13,1351040968,0,2236.013184,0,0,28.9659729,-13.53956509,0,gfw
1.84835E+13,1352368414,0,2236.013184,0,291.2000122,28.96591949,-13.5395546,0,gfw
1.84835E+13,1351127111,0,2236.013184,0,2.200000048,28.96595955,-13.53958035,0,gfw
1.84835E+13,1351246466,0,2236.013184,0,4.800000191,28.96593285,-13.53956699,0,gfw
